Title,Rating,Voting,Duration,Genre_Title
108. Heartsping : Teenieping of Love,6.9, (21),TV-Y,Family
109. Ole Aale,8.7, (406),2h 22m,Family
110. Juliette au printemps,6.5, (215),1h 35m,Family
111. Dance Rivals,6.0, (63),1h 33m,Family
112. The Lamb,7.1, (27),1h 25m,Family
113. Juf Braaksel en de Geniale Ontsnapping,4.0, (42),1h 23m,Family
114. Big City Greens the Movie: Spacecation,6.2, (528),TV-Y7,Family
115. Véletlenül írtam egy könyvet,7.6, (270),1h 38m,Family
116. Skelly,5.6, (88),1h 25m,Family
117. Grrr...,4.0, (805),2h 1m,Family
118. Saint Nick of Bethlehem,9.3, (94),1h 33m,Family
119. G for Gap,7.2, (530),1h 43m,Family
120. The Magic Penguin,3.8, (25),1h 29m,Family
121. Dog Days,6.7, (295),2h,Family
122. Troy the Bharat Putra,5.7, (30),2h 14m,Family
123. Dongeng Sang Kancil,8.1, (76),1h 39m,Family
124. Singapore Saloon,6.0, (1.2K),2h 17m,Family
125. Si Juki the Movie: Harta Pulau Monyet,6.0, (114),1h 47m,Family
126. Kvitebjørn,5.9, (51),1h 25m,Family
127. Vishesham,6.7, (1.3K),2h 16m,Family
128. Laggam,8.5, (5.1K),2h 10m,Family
"129. Love, Sitara",5.3, (295),1h 45m,Family
130. Joy of Horses,5.8, (160),1h 30m,Family
131. Hope,5.5, (36),,Family
132. Goldbeak,4.9, (125),1h 34m,Family
133. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8, (25),1h 11m,Family
134. Magic Beach,5.5, (58),1h 20m,Family
135. Lucy and the Lake Monster,9.3, (24),,Family
136. 14 Days Love,7.5, (8),1h 52m,Family
137. The Proud Princess,7.1, (97),1h 24m,Family
138. Cup,8.5, (65),2h 26m,Family
139. Niko: Beyond the Northern Lights,6.3, (290),1h 26m,Family
140. Finding Christmas,7.4, (9),,Family
141. Letuchiy korabl,3.7, (287),1h 40m,Family
142. Domovyonok Kuzya,6.5, (800),1h 30m,Family
143. SuperKlaus,4.3, (189),1h 28m,Family
144. Khusma,8.4, (34),,Family
145. Ghudchadi,4.2, (548),1h 53m,Family
146. Animal Tales of Christmas Magic,6.8, (50),1h 12m,Family
147. Little Emma,5.7, (97),1h 46m,Family
148. Hashtag Tadev lagnam,6.5, (126),1h 58m,Family
149. My Private Line to God,6.7, (82),,Family
150. Stinky Summer,5.9, (45),1h 30m,Family
151. Yolki 11,4.7, (163),1h 32m,Family
152. For Prophet,5.4, (104),1h 45m,Family
153. Peppa's Cinema Party,5.0, (152),1h 5m,Family
